mass 1,mass 2,id 1,id 2,period (days),ejection time
13.7,13.4 , 26636,  2404 ,4.7E-02, 2445.00
13.5,22.3 , 60751,178606 ,2.1E+02, 3631.00
14.3,15.2 ,115438, 36532 ,9.4E+01, 4583.00
15.2,14.5 ,108718, 75833 ,2.4E+02, 5845.00
13.7,14.7 , 11293,  3838 ,5.3E+02, 7477.00
13.7,14.5 , 83281,148002 ,2.8E+02,11373.00
13.4,13.4 ,169516,163001 ,1.2E+02,12254.00
13.4,13.7 ,154277, 35807 ,3.5E+02,17985.00
14.8, 9.5 , 26198,180878 ,3.5E+02,22913.00
18.7,10.3 , 23052,119272 ,1.5E+02,34234.00
 9.7, 7.9 ,159191,  5720 ,1.4E+02,47342.00
